,Binary Completion,passResult,down,yardsToGo,yardlineNumber,quarter,gameClock,num RB,num TE,num WR,num DL,num LB,num DB,defendersInBox,2-Man,Bracket,Cover-0,Cover-1,Cover-2,Cover-3,Cover-6,Goal Line,Prevent,Quarters,Red Zone,possessionTeam,homeTeamAbbr,visitorTeamAbbr,preSnapVisitorScore,preSnapHomeScore,off_score,def_score,score_diff,gameClock_seconds,secondsLeftInHalf
0,0,I,3,2,33,1,13:33,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,0,0,0,0,0,813,1713
1,1,C,1,10,2,1,13:18,1,2,2,4,4,3,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,0,0,0,0,0,798,1698
2,1,C,2,6,34,1,12:23,0,2,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,0,0,0,0,0,743,1643
3,0,I,1,10,39,1,09:56,1,2,2,4,3,4,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,0,0,0,0,0,596,1496
4,0,I,3,15,44,1,09:46,1,1,3,3,4,4,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,0,0,0,0,0,586,1486
5,1,C,2,5,11,1,08:53,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,0,0,0,0,0,533,1433
6,0,I,1,10,21,1,08:24,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,TB,TB,DAL,0,0,0,0,0,504,1404
7,1,C,2,10,21,1,08:20,1,1,3,4,2,5,6.0,0,0,0,0,0,0,1,0,0,0,0,TB,TB,DAL,0,0,0,0,0,500,1400
8,1,C,1,10,40,1,07:53,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,TB,TB,DAL,0,0,0,0,0,473,1373
9,1,C,1,10,32,1,07:30,1,1,3,4,2,5,6.0,0,0,0,0,0,0,0,0,0,1,0,TB,TB,DAL,0,0,0,0,0,450,1350
10,1,C,2,7,13,1,06:13,1,2,2,4,2,5,7.0,0,0,0,0,0,0,0,0,0,1,0,TB,TB,DAL,0,0,0,0,0,373,1273
11,1,C,1,5,5,1,05:26,1,1,3,4,2,5,7.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,0,0,0,0,0,326,1226
