,prePenaltyPlayResult,playResult,foulName1,Binary Completion,down,yardsToGo,pff_passCoverageType,offenseFormation,offenseFormation,yardlineNumber,quarter,gameClock,num RB,num TE,num WR,num DL,num LB,num DB,defendersInBox,2-Man,Bracket,Cover-0,Cover-1,Cover-2,Cover-3,Cover-6,Goal Line,Prevent,Quarters,Red Zone,possessionTeam,offenseFormation,pff_passCoverageType,absoluteYardlineNumber,homeTeamAbbr,visitorTeamAbbr,preSnapVisitorScore,preSnapHomeScore,off_score,def_score,score_diff,gameClock_seconds,secondsLeftInHalf
0,0,0,,0,3,2,Man,SHOTGUN,SHOTGUN,33,1,13:33,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,SHOTGUN,Man,43.0,TB,DAL,0,0,0,0,0,813,1713
1,28,28,,1,1,10,Zone,EMPTY,EMPTY,2,1,13:18,1,2,2,4,4,3,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,EMPTY,Zone,108.0,TB,DAL,0,0,0,0,0,798,1698
2,5,5,,1,2,6,Zone,SHOTGUN,SHOTGUN,34,1,12:23,0,2,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,76.0,TB,DAL,0,0,0,0,0,743,1643
3,0,0,,0,1,10,Zone,SINGLEBACK,SINGLEBACK,39,1,09:56,1,2,2,4,3,4,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SINGLEBACK,Zone,49.0,TB,DAL,0,0,0,0,0,596,1496
4,0,0,,0,3,15,Zone,SHOTGUN,SHOTGUN,44,1,09:46,1,1,3,3,4,4,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,54.0,TB,DAL,0,0,0,0,0,586,1486
5,10,10,,1,2,5,Man,EMPTY,EMPTY,11,1,08:53,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,EMPTY,Man,21.0,TB,DAL,0,0,0,0,0,533,1433
6,0,0,,0,1,10,Zone,SHOTGUN,SHOTGUN,21,1,08:24,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,TB,SHOTGUN,Zone,31.0,TB,DAL,0,0,0,0,0,504,1404
7,19,19,,1,2,10,Zone,SHOTGUN,SHOTGUN,21,1,08:20,1,1,3,4,2,5,6.0,0,0,0,0,0,0,1,0,0,0,0,TB,SHOTGUN,Zone,31.0,TB,DAL,0,0,0,0,0,500,1400
8,28,28,,1,1,10,Zone,SHOTGUN,SHOTGUN,40,1,07:53,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,TB,SHOTGUN,Zone,50.0,TB,DAL,0,0,0,0,0,473,1373
9,16,16,,1,1,10,Zone,SHOTGUN,SHOTGUN,32,1,07:30,1,1,3,4,2,5,6.0,0,0,0,0,0,0,0,0,0,1,0,TB,SHOTGUN,Zone,78.0,TB,DAL,0,0,0,0,0,450,1350
10,8,8,,1,2,7,Zone,SHOTGUN,SHOTGUN,13,1,06:13,1,2,2,4,2,5,7.0,0,0,0,0,0,0,0,0,0,1,0,TB,SHOTGUN,Zone,97.0,TB,DAL,0,0,0,0,0,373,1273
11,5,5,,1,1,5,Man,SHOTGUN,SHOTGUN,5,1,05:26,1,1,3,4,2,5,7.0,0,0,0,1,0,0,0,0,0,0,0,TB,SHOTGUN,Man,105.0,TB,DAL,0,0,0,0,0,326,1226
12,12,12,,1,2,2,Man,SHOTGUN,SHOTGUN,44,1,04:15,1,2,2,4,3,4,7.0,0,0,0,1,0,0,0,0,0,0,0,DAL,SHOTGUN,Man,66.0,TB,DAL,0,7,0,7,-7,255,1155
13,8,8,,1,2,3,Zone,SHOTGUN,SHOTGUN,37,1,02:45,1,1,3,3,3,5,6.0,0,0,0,0,1,0,0,0,0,0,0,DAL,SHOTGUN,Zone,47.0,TB,DAL,0,7,0,7,-7,165,1065
14,7,7,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,29,1,02:22,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SINGLEBACK,Zone,39.0,TB,DAL,0,7,0,7,-7,142,1042
15,22,22,,1,2,3,Man,SHOTGUN,SHOTGUN,22,1,01:43,1,2,2,4,3,4,6.0,0,0,0,1,0,0,0,0,0,0,0,DAL,SHOTGUN,Man,32.0,TB,DAL,0,7,0,7,-7,103,1003
16,0,0,,0,2,5,Man,SINGLEBACK,SINGLEBACK,40,1,00:11,1,2,2,4,2,5,7.0,0,0,0,1,0,0,0,0,0,0,0,TB,SINGLEBACK,Man,70.0,TB,DAL,7,7,7,7,0,11,911
17,0,0,,0,3,5,Zone,SHOTGUN,SHOTGUN,40,1,00:05,1,1,3,4,2,5,5.0,0,0,0,0,1,0,0,0,0,0,0,TB,SHOTGUN,Zone,70.0,TB,DAL,7,7,7,7,0,5,905
18,5,5,,1,2,8,Zone,SHOTGUN,SHOTGUN,7,2,14:21,1,0,4,3,3,5,5.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SHOTGUN,Zone,17.0,TB,DAL,7,7,7,7,0,861,861
19,5,5,,1,2,8,Zone,SHOTGUN,SHOTGUN,48,2,12:07,1,2,2,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,SHOTGUN,Zone,58.0,TB,DAL,7,7,7,7,0,727,727
20,17,17,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,24,2,11:13,1,2,2,4,2,5,7.0,0,0,0,0,0,0,0,0,0,1,0,TB,SINGLEBACK,Zone,34.0,TB,DAL,7,7,7,7,0,673,673
21,2,2,,1,2,2,Man,SINGLEBACK,SINGLEBACK,2,2,09:53,1,1,3,4,2,5,7.0,0,0,0,1,0,0,0,0,0,0,0,TB,SINGLEBACK,Man,12.0,TB,DAL,7,7,7,7,0,593,593
22,22,22,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,25,2,09:48,2,1,2,3,3,5,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SINGLEBACK,Zone,35.0,TB,DAL,7,14,7,14,-7,588,588
23,6,6,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,39,2,09:04,1,2,2,4,3,4,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SINGLEBACK,Zone,71.0,TB,DAL,7,14,7,14,-7,544,544
24,4,4,,1,2,7,Zone,SHOTGUN,SHOTGUN,17,2,07:27,1,1,3,3,3,5,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,93.0,TB,DAL,7,14,7,14,-7,447,447
25,0,0,,0,3,3,Man,SHOTGUN,SHOTGUN,13,2,06:46,1,1,3,3,3,5,6.0,0,0,0,1,0,0,0,0,0,0,0,DAL,SHOTGUN,Man,97.0,TB,DAL,7,14,7,14,-7,406,406
